127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
127.0.0.1 - - [20/Aug/2022:12:57:02 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
127.0.0.1 - - [20/Aug/2022:12:57:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [20/Aug/2022:12:57:02 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Aug/2022:12:57:02 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:12:57:02 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:12:57:02 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
127.0.0.1 - - [20/Aug/2022:12:57:02 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
127.0.0.1 - - [20/Aug/2022:12:57:02 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
127.0.0.1 - - [20/Aug/2022:12:57:02 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
127.0.0.1 - - [20/Aug/2022:12:57:02 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/ HTTP/1.1" 200 10335
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
127.0.0.1 - - [20/Aug/2022:13:01:21 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
127.0.0.1 - - [20/Aug/2022:13:01:22 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
127.0.0.1 - - [20/Aug/2022:13:01:22 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Aug/2022:13:01:22 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:01:22 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:01:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [20/Aug/2022:13:01:22 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
127.0.0.1 - - [20/Aug/2022:13:01:22 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
127.0.0.1 - - [20/Aug/2022:13:01:22 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
127.0.0.1 - - [20/Aug/2022:13:01:22 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
127.0.0.1 - - [20/Aug/2022:13:01:22 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/ HTTP/1.1" 200 10335
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
127.0.0.1 - - [20/Aug/2022:13:09:45 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
127.0.0.1 - - [20/Aug/2022:13:09:46 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Aug/2022:13:09:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [20/Aug/2022:13:09:49 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:09:49 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:09:49 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
127.0.0.1 - - [20/Aug/2022:13:09:49 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
127.0.0.1 - - [20/Aug/2022:13:09:50 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 131072
127.0.0.1 - - [20/Aug/2022:13:09:50 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 8192
127.0.0.1 - - [20/Aug/2022:13:09:50 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 8192
127.0.0.1 - - [20/Aug/2022:13:09:50 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 6815
127.0.0.1 - - [20/Aug/2022:13:09:50 +0530] "GET /medicare/json/data/all/products?_=1660981190258 HTTP/1.1" 200 1258
127.0.0.1 - - [20/Aug/2022:13:09:50 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
127.0.0.1 - - [20/Aug/2022:13:09:50 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
127.0.0.1 - - [20/Aug/2022:13:09:50 +0530] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
127.0.0.1 - - [20/Aug/2022:13:09:50 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 206 88505
127.0.0.1 - - [20/Aug/2022:13:13:31 +0530] "GET /medicare/ HTTP/1.1" 200 10335
127.0.0.1 - - [20/Aug/2022:13:13:31 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [20/Aug/2022:13:13:31 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
127.0.0.1 - - [20/Aug/2022:13:13:31 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
127.0.0.1 - - [20/Aug/2022:13:13:31 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
127.0.0.1 - - [20/Aug/2022:13:13:31 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
127.0.0.1 - - [20/Aug/2022:13:13:31 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
127.0.0.1 - - [20/Aug/2022:13:13:31 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
127.0.0.1 - - [20/Aug/2022:13:13:31 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
127.0.0.1 - - [20/Aug/2022:13:13:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/ HTTP/1.1" 200 10335
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
127.0.0.1 - - [20/Aug/2022:13:16:01 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
127.0.0.1 - - [20/Aug/2022:13:16:02 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
127.0.0.1 - - [20/Aug/2022:13:16:02 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Aug/2022:13:16:02 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:16:02 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:16:02 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
127.0.0.1 - - [20/Aug/2022:13:16:02 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
127.0.0.1 - - [20/Aug/2022:13:16:02 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
127.0.0.1 - - [20/Aug/2022:13:16:02 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
127.0.0.1 - - [20/Aug/2022:13:16:02 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
127.0.0.1 - - [20/Aug/2022:13:16:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/ HTTP/1.1" 200 10335
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
127.0.0.1 - - [20/Aug/2022:13:32:28 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
127.0.0.1 - - [20/Aug/2022:13:32:29 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
127.0.0.1 - - [20/Aug/2022:13:32:29 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Aug/2022:13:32:30 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:32:30 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:32:30 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
127.0.0.1 - - [20/Aug/2022:13:32:30 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
127.0.0.1 - - [20/Aug/2022:13:32:30 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
127.0.0.1 - - [20/Aug/2022:13:32:30 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
127.0.0.1 - - [20/Aug/2022:13:32:30 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
127.0.0.1 - - [20/Aug/2022:13:32:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/ HTTP/1.1" 200 10335
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
127.0.0.1 - - [20/Aug/2022:13:34:46 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
127.0.0.1 - - [20/Aug/2022:13:34:47 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
127.0.0.1 - - [20/Aug/2022:13:34:47 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Aug/2022:13:34:47 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:34:47 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:13:34:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [20/Aug/2022:13:34:47 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
127.0.0.1 - - [20/Aug/2022:13:34:47 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
127.0.0.1 - - [20/Aug/2022:13:34:47 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
127.0.0.1 - - [20/Aug/2022:13:34:47 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
127.0.0.1 - - [20/Aug/2022:13:34:47 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
127.0.0.1 - - [20/Aug/2022:13:34:53 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 6815
127.0.0.1 - - [20/Aug/2022:13:34:53 +0530] "GET /medicare/json/data/all/products?_=1660982693573 HTTP/1.1" 200 1258
127.0.0.1 - - [20/Aug/2022:13:34:53 +0530] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/ HTTP/1.1" 200 10335
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [20/Aug/2022:13:36:35 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
